Address,PostCode,LivingArea,PlotSize,Price,Rooms,href,HouseId,url,TimeStampShallow
Verkadestraat 16,2613 ZL Delft,92 m²,196 m²,"€ 445,000 k.k.",4 rooms,/en/koop/delft/huis-42054379-verkadestraat-16/,42054379,https://www.funda.nl/en/koop/delft/huis-42054379-verkadestraat-16/,2022-12-15T00:25:31.746716+01:00
Zambezilaan 56,2622 LG Delft,134 m²,113 m²,"€ 439,000 k.k.",7 rooms,/en/koop/delft/huis-42054940-zambezilaan-56/,42054940,https://www.funda.nl/en/koop/delft/huis-42054940-zambezilaan-56/,2022-12-15T00:25:31.746716+01:00
Burgemeestersrand 46,2625 NW Delft,129 m²,161 m²,"€ 465,000 k.k.",5 rooms,/en/koop/delft/huis-42050256-burgemeestersrand-46/,42050256,https://www.funda.nl/en/koop/delft/huis-42050256-burgemeestersrand-46/,2022-12-15T00:25:31.746716+01:00
Witmolen 18,2614 LR Delft,125 m²,104 m²,"€ 525,000 k.k.",5 rooms,/en/koop/delft/huis-42055882-witmolen-18/,42055882,https://www.funda.nl/en/koop/delft/huis-42055882-witmolen-18/,2022-12-15T00:25:31.746716+01:00
Venlokas 22,2614 SN Delft,140 m²,214 m²,"€ 695,000 k.k.",6 rooms,/en/koop/delft/huis-42942659-venlokas-22/,42942659,https://www.funda.nl/en/koop/delft/huis-42942659-venlokas-22/,2022-12-15T00:25:31.746716+01:00
Waterhoenstraat 12,2623 MB Delft,124 m²,121 m²,"€ 435,000 k.k.",5 rooms,/en/koop/delft/huis-42948231-waterhoenstraat-12/,42948231,https://www.funda.nl/en/koop/delft/huis-42948231-waterhoenstraat-12/,2022-12-15T00:25:31.746716+01:00
Waterloop 26,2614 XC Delft,164 m²,69 m²,"€ 579,000 k.k.",5 rooms,/en/koop/delft/huis-42948128-waterloop-26/,42948128,https://www.funda.nl/en/koop/delft/huis-42948128-waterloop-26/,2022-12-15T00:25:31.746716+01:00
Maerten Trompstraat 4,2628 RD Delft,148 m²,124 m²,"€ 725,000 k.k.",6 rooms,/en/koop/delft/huis-42948184-maerten-trompstraat-4/,42948184,https://www.funda.nl/en/koop/delft/huis-42948184-maerten-trompstraat-4/,2022-12-15T00:25:31.746716+01:00
Laan van Lekkerkerk 96,2614 MN Delft,106 m²,93 m²,"€ 489,500 k.k.",5 rooms,/en/koop/delft/huis-42934199-laan-van-lekkerkerk-96/,42934199,https://www.funda.nl/en/koop/delft/huis-42934199-laan-van-lekkerkerk-96/,2022-12-15T00:25:31.746716+01:00
Churchilllaan 17,2625 GS Delft,114 m²,157 m²,"€ 419,500 k.k.",5 rooms,/en/koop/delft/huis-42930626-churchilllaan-17/,42930626,https://www.funda.nl/en/koop/delft/huis-42930626-churchilllaan-17/,2022-12-15T00:25:31.746716+01:00
Raad van Europalaan 19,2625 PA Delft,203 m²,243 m²,"€ 650,000 k.k.",6 rooms,/en/koop/delft/huis-88390170-raad-van-europalaan-19/,88390170,https://www.funda.nl/en/koop/delft/huis-88390170-raad-van-europalaan-19/,2022-12-15T00:25:31.746716+01:00
Van Alkemadestraat 3,2614 EP Delft,123 m²,103 m²,"€ 465,000 k.k.",5 rooms,/en/koop/delft/huis-42923005-van-alkemadestraat-3/,42923005,https://www.funda.nl/en/koop/delft/huis-42923005-van-alkemadestraat-3/,2022-12-15T00:25:31.746716+01:00
Van Tijenstraat 30,2628 ZM Delft,201 m²,142 m²,"€ 850,000 k.k.",7 rooms,/en/koop/delft/huis-42921047-van-tijenstraat-30/,42921047,https://www.funda.nl/en/koop/delft/huis-42921047-van-tijenstraat-30/,2022-12-15T00:25:31.746716+01:00
Laan van Overvest 33,2613 DK Delft,148 m²,266 m²,"€ 845,000 k.k.",5 rooms,/en/koop/delft/huis-42917386-laan-van-overvest-33/,42917386,https://www.funda.nl/en/koop/delft/huis-42917386-laan-van-overvest-33/,2022-12-15T00:25:31.746716+01:00
Straat van Malakka 46,2622 KM Delft,177 m²,260 m²,"€ 745,000 k.k.",6 rooms,/en/koop/delft/huis-42917274-straat-van-malakka-46/,42917274,https://www.funda.nl/en/koop/delft/huis-42917274-straat-van-malakka-46/,2022-12-15T00:25:31.746716+01:00
Westvest 273,2611 BX Delft,79 m²,,"€ 389,000 k.k.",3 rooms,/en/koop/delft/appartement-42949809-westvest-273/,42949809,https://www.funda.nl/en/koop/delft/appartement-42949809-westvest-273/,2022-12-15T00:25:32.153789+01:00
Van Leeuwenhoekpark 15 B,2611 DW Delft,156 m²,,"€ 895,000 k.k.",5 rooms,/en/koop/delft/appartement-42931350-van-leeuwenhoekpark-15-b/,42931350,https://www.funda.nl/en/koop/delft/appartement-42931350-van-leeuwenhoekpark-15-b/,2022-12-15T00:25:32.153789+01:00
Herman Gorterhof 154,2624 XL Delft,70 m²,,"€ 235,000 k.k.",4 rooms,/en/koop/delft/appartement-42929606-herman-gorterhof-154/,42929606,https://www.funda.nl/en/koop/delft/appartement-42929606-herman-gorterhof-154/,2022-12-15T00:25:32.153789+01:00
Oostplantsoen 109,2611 WL Delft,136 m²,,"€ 575,000 k.k.",3 rooms,/en/koop/delft/appartement-42917225-oostplantsoen-109/,42917225,https://www.funda.nl/en/koop/delft/appartement-42917225-oostplantsoen-109/,2022-12-15T00:25:32.153789+01:00
Westvest 199,2611 BZ Delft,80 m²,,"€ 315,000 k.k.",3 rooms,/en/koop/delft/appartement-42998525-westvest-199/,42998525,https://www.funda.nl/en/koop/delft/appartement-42998525-westvest-199/,2022-12-15T00:25:32.153789+01:00
Aart van der Leeuwlaan 1012,2624 MA Delft,117 m²,,"€ 325,000 k.k.",4 rooms,/en/koop/delft/appartement-42984467-aart-van-der-leeuwlaan-1012/,42984467,https://www.funda.nl/en/koop/delft/appartement-42984467-aart-van-der-leeuwlaan-1012/,2022-12-15T00:25:32.153789+01:00
Herman Gorterhof 114,2624 XJ Delft,70 m²,,"€ 260,000 k.k.",3 rooms,/en/koop/delft/appartement-42983361-herman-gorterhof-114/,42983361,https://www.funda.nl/en/koop/delft/appartement-42983361-herman-gorterhof-114/,2022-12-15T00:25:32.153789+01:00
Machteld van Meterenlaan 27,2628 LN Delft,131 m²,,"€ 725,000 k.k.",4 rooms,/en/koop/delft/appartement-42982943-machteld-van-meterenlaan-27/,42982943,https://www.funda.nl/en/koop/delft/appartement-42982943-machteld-van-meterenlaan-27/,2022-12-15T00:25:32.153789+01:00
Van Miereveltlaan 9 d,2612 XE Delft,165 m²,,"€ 895,000 k.k.",4 rooms,/en/koop/delft/appartement-42981983-van-miereveltlaan-9-d/,42981983,https://www.funda.nl/en/koop/delft/appartement-42981983-van-miereveltlaan-9-d/,2022-12-15T00:25:32.153789+01:00
Bosboom-Toussaintplein 89,2624 DH Delft,66 m²,,"€ 250,000 k.k.",4 rooms,/en/koop/delft/appartement-42986995-bosboom-toussaintplein-89/,42986995,https://www.funda.nl/en/koop/delft/appartement-42986995-bosboom-toussaintplein-89/,2022-12-15T00:25:32.153789+01:00
Roland Holstlaan 1098,2624 JS Delft,75 m²,,"€ 299,500 k.k.",3 rooms,/en/koop/delft/appartement-42826629-roland-holstlaan-1098/,42826629,https://www.funda.nl/en/koop/delft/appartement-42826629-roland-holstlaan-1098/,2022-12-15T00:25:32.153789+01:00
De Vlouw 19,2611 EW Delft,130 m²,,"€ 645,000 k.k.",4 rooms,/en/koop/delft/appartement-42747579-de-vlouw-19/,42747579,https://www.funda.nl/en/koop/delft/appartement-42747579-de-vlouw-19/,2022-12-15T00:25:32.153789+01:00
Wilhelminalaan 64,2625 KJ Delft,116 m²,141 m²,"€ 499,000 k.k.",5 rooms,/en/koop/delft/huis-42913611-wilhelminalaan-64/,42913611,https://www.funda.nl/en/koop/delft/huis-42913611-wilhelminalaan-64/,2022-12-15T00:25:32.153789+01:00
Burgwal 34,2611 GJ Delft,74 m²,26 m²,"€ 445,000 k.k.",3 rooms,/en/koop/delft/huis-42050479-burgwal-34/,42050479,https://www.funda.nl/en/koop/delft/huis-42050479-burgwal-34/,2022-12-15T00:25:32.153789+01:00
Sandinoweg 60,2622 DZ Delft,85 m²,109 m²,"€ 349,500 k.k.",3 rooms,/en/koop/delft/huis-42059393-sandinoweg-60/,42059393,https://www.funda.nl/en/koop/delft/huis-42059393-sandinoweg-60/,2022-12-15T00:25:32.153789+01:00
