Address,PostCode,LivingArea,PlotSize,Price,Rooms,href,HouseId,url,TimeStampShallow
Van Hogendorpplantsoen 19,3317 TP Dordrecht,114 m²,143 m²,"€ 299,000 k.k.",5 rooms,/en/koop/dordrecht/huis-42066081-van-hogendorpplantsoen-19/,42066081,https://www.funda.nl/en/koop/dordrecht/huis-42066081-van-hogendorpplantsoen-19/,2022-12-15T00:32:27.620883+01:00
Vredenburg 131,3328 DK Dordrecht,131 m²,328 m²,"€ 465,000 k.k.",4 rooms,/en/koop/dordrecht/huis-42065132-vredenburg-131/,42065132,https://www.funda.nl/en/koop/dordrecht/huis-42065132-vredenburg-131/,2022-12-15T00:32:27.620883+01:00
Burgemeester Jaslaan 1 A,3319 AB Dordrecht,253 m²,"1,145 m²","€ 975,000 k.k.",7 rooms,/en/koop/dordrecht/huis-42054018-burgemeester-jaslaan-1-a/,42054018,https://www.funda.nl/en/koop/dordrecht/huis-42054018-burgemeester-jaslaan-1-a/,2022-12-15T00:32:27.620883+01:00
Stadhouderstraat 4,3319 RM Dordrecht,125 m²,154 m²,"€ 325,000 k.k.",5 rooms,/en/koop/dordrecht/huis-88416838-stadhouderstraat-4/,88416838,https://www.funda.nl/en/koop/dordrecht/huis-88416838-stadhouderstraat-4/,2022-12-15T00:32:27.620883+01:00
Iroko 214,3315 PR Dordrecht,155 m²,183 m²,"€ 499,000 k.k.",7 rooms,/en/koop/dordrecht/huis-88416568-iroko-214/,88416568,https://www.funda.nl/en/koop/dordrecht/huis-88416568-iroko-214/,2022-12-15T00:32:27.620883+01:00
Rijksstraatweg 99,3316 EE Dordrecht,85 m²,700 m²,"€ 570,000 k.k.",3 rooms,/en/koop/dordrecht/huis-42052595-rijksstraatweg-99/,42052595,https://www.funda.nl/en/koop/dordrecht/huis-42052595-rijksstraatweg-99/,2022-12-15T00:32:27.620883+01:00
Wijnstraat 150,3311 BZ Dordrecht,267 m²,169 m²,"€ 1,150,000 k.k.",6 rooms,/en/koop/dordrecht/huis-42943232-wijnstraat-150/,42943232,https://www.funda.nl/en/koop/dordrecht/huis-42943232-wijnstraat-150/,2022-12-15T00:32:27.620883+01:00
Sandenburg 33,3328 EB Dordrecht,109 m²,147 m²,"€ 345,000 k.k.",4 rooms,/en/koop/dordrecht/huis-42941844-sandenburg-33/,42941844,https://www.funda.nl/en/koop/dordrecht/huis-42941844-sandenburg-33/,2022-12-15T00:32:27.620883+01:00
Weerdestein 111,3328 ML Dordrecht,120 m²,162 m²,"€ 359,500 k.k.",6 rooms,/en/koop/dordrecht/huis-42949305-weerdestein-111/,42949305,https://www.funda.nl/en/koop/dordrecht/huis-42949305-weerdestein-111/,2022-12-15T00:32:27.620883+01:00
Rijnstraat 38,3313 GW Dordrecht,66 m²,143 m²,"€ 299,500 k.k.",3 rooms,/en/koop/dordrecht/huis-42948779-rijnstraat-38/,42948779,https://www.funda.nl/en/koop/dordrecht/huis-42948779-rijnstraat-38/,2022-12-15T00:32:27.620883+01:00
